sku,code,gtin,name,brand,color,model,price,sizes,errors,images,season,made_in,category,feed_name,department,product_id,season_year,color_original,made_in_original,category_original,materials_original,department_original,unit_system_name_original,year,collection,dimensions,collection_original,title,sizes_raw,season_raw,description,size_system,category_item,season_display,sizes_original,vendor_product_id,_missing_fields,_has_images,_image_count,lens_all_matches,lens_brand_matches,confidence_score,_enrichment_tool,_enrichment_status,_enrichment_fill_rate,_enriched_fields,_enrichment_error,_enrichment_accuracy_score,match_reason,source_url,image_links
3796412,H2T100 018,[],CREWNECK JUMPER,BRUNO MANETTI,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS23,,JUMPERS,loschi,female,,,,,,,DONNA,,2023,,,,,,,CREWNECK JUMPER,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3818043,L2C122 009,[],ROUNDNECK SWEATER,BRUNO MANETTI,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,JUMPERS,loschi,female,,,,,,,DONNA,,2023,,,,,,,ROUNDNECK SWEATER,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3817903,YPU037 1TS0083 903,[],5 POCKETS PANTS,Y CHAI,grigio,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,TROUSERS,loschi,male,,,,,,,UOMO,,2023,,,,,,,5 POCKETS PANTS,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3823053,318049 0185,[],CASHMERE CARDIGAN,LAMBERTO LOSANI,beige,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],FW23,ITALY,CARDIGANS,loschi,female,,,,,,,DONNA,,2023,,,,,,,CASHMERE CARDIGAN,,,,,,7,false,0,,,none,noimg-claude,failed,0,,,,,,
3817983,L2B112 000,[],ROUNDNECK SWEATER,BRUNO MANETTI,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,JUMPERS,loschi,female,,,,,,,DONNA,,2023,,,,,,,ROUNDNECK SWEATER,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3808813,HNTCMB727 DLAG,[],BOOTCUT JEANS,FRAME,denim,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],FW23,PARAGUAY,JEANS,loschi,female,,,,,,Cotton 100%%,DONNA,,2023,,,,,,,BOOTCUT JEANS,,,,,,7,false,0,,,none,noimg-claude,failed,0,,,,,,
3818033,L2C122 000,[],ROUNDNECK SWEATER,BRUNO MANETTI,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,JUMPERS,loschi,female,,,,,,,DONNA,,2023,,,,,,,ROUNDNECK SWEATER,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3838083,D433X706MTP Y4352,[],NECKLACE,ERMANNO SCERVINO,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,NECKLACES,loschi,female,,,,,,,DONNA,,2023,,,,,,,NECKLACE,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3827113,A3581 5102 0555,[],CASHMERE GLOVES,ALBERTA FERRETTI,nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,GLOVES,loschi,female,,,,,,,DONNA,,2023,,,,,,,CASHMERE GLOVES,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,All 1 candidate URLs returned non-200,,
3847613,812530 ZY270 Z1664,[],CREWNECK SWEATER,ZANONE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],FW23,ITALY,JUMPERS,loschi,male,,,,,,,UOMO,,2023,,,,,,,CREWNECK SWEATER,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
